first_name,last_name,archetype,plaintext_list,is_checked
Adam Diviš,,"Lier, Disciple of the Drowned",,0
Adam Luxburg,,"Tasigur, the Golden Fang","1 Aboleth Spawn
1 Abrupt Decay
1 Bloodstained Mire
1 Boggart Trawler
1 Brainstorm
1 Castle Locthwain
1 Castle Vantress
1 Clearwater Pathway
1 Cling to Dust
1 Command Tower
1 Consider
1 Consult the Star Charts
1 Cosmogoyf
1 Counterspell
1 Creeping Tar Pit
1 Darkslick Shores
1 Daze
1 Defabricate
1 Deluge of Doom
1 Demonic Consultation
1 Demonic Tutor
1 Dismember
1 Dreamroot Cascade
1 Ertai Resurrected
1 Fabled Passage
1 Fell the Profane
1 Fetid Pools
1 Field of Ruin
1 Flooded Strand
1 Force of Negation
1 Force Spike
1 Forest
1 Gitaxian Probe
1 Hall of Storm Giants
1 Hedge Maze
1 Hive of the Eye Tyrant
1 Inquisition of Kozilek
1 Intuition
1 Island
1 Jace, Wielder of Mysteries
1 Jwari Disruption
1 Long Goodbye
1 Lorien Revealed
1 Mana Leak
1 Marsh Flats
1 Memory Lapse
1 Mental Misstep
1 Minamo, School at Water's Edge
1 Misdirection
1 Muddle the Mixture
1 Mystic Confluence
1 Nimble Obstructionist
1 Oko, Thief of Crowns
1 Orcish Bowmasters
1 Otawara, Soaring City
1 Overgrown Tomb
1 Parallax Nexus
1 Parallax Tide
1 Picklock Prankster
1 Polluted Delta
1 Ponder
1 Prismatic Vista
1 Psychic Frog
1 Rakshasa's Bargain
1 Remand
1 River of Tears
1 Sauron's Ransom
1 Scalding Tarn
1 Shadow of Doubt
1 Sheoldred's Edict
1 Shizo, Death's Storehouse
1 Shred Memory
1 Sink into Stupor
1 Snapcaster Mage
1 Spell Snare
1 Spellseeker
1 Stern Scolding
1 Strategic Betrayal
1 Subtlety
1 Swamp
1 Tainted Pact
1 Takenuma, Abandoned Mire
1 Thought Lash
1 Thought Scour
1 Thoughtseize
1 Tishana's Tidebinder
1 Toxic Deluge
1 Treachery
1 Troll of Khazad-dum
1 Undercity Sewers
1 Underground River
1 Underground Sea
1 Verdant Catacombs
1 Wash Away
1 Waterlogged Teachings
1 Watery Grave
1 Wilderness Reclamation
1 Windswept Heath
1 Zagoth Triome",0
Adam Petřík,,Slimefoot and Squee,"1 Abrupt Decay
1 Abundant Countryside
1 Accursed Marauder
1 Animate Dead
1 Arid Mesa
1 Badgermole Cub
1 Badlands
1 Barrowgoyf
1 Bayou
1 Birds of Paradise
1 Birthing Pod
1 Blackcleave Cliffs
1 Blazemire Verge
1 Blood Crypt
1 Bloodstained Mire
1 Blooming Marsh
1 Boseiju, Who Endures
1 Broadside Bombardiers
1 Cankerbloom
1 Carnage, Crimson Chaos
1 Command Tower
1 Commercial District
1 Copperline Gorge
1 Dauthi Voidwalker
1 Deadpool, Trading Card
1 Deathrite Shaman
1 Delighted Halfling
1 Demonic Tutor
1 Detective's Phoenix
1 Dismember
1 Duress
1 Eldritch Evolution
1 Elves of Deep Shadow
1 Elvish Mystic
1 Emperor of Bones
1 Endurance
1 Fable of the Mirror-Breaker
1 Fatal Push
1 Flame Slash
1 Flare of Malice
1 Formidable Speaker
1 Frenzied Baloth
1 Fury
1 Fyndhorn Elves
1 Ghostfire Slice
1 Goblin Bombardment
1 Grief
1 Grove of the Burnwillows
1 Headliner Scarlett
1 Chaos Defiler
1 Ignoble Hierarch
1 Inquisition of Kozilek
1 Karplusan Forest
1 Keen-Eyed Curator
1 Lazotep Quarry
1 Lightning Bolt
1 Llanowar Elves
1 Llanowar Wastes
1 Marsh Flats
1 Mawloc
1 Metamorphosis Fanatic
1 Minsc & Boo, Timeless Heroes
1 Misty Rainforest
1 Molten Collapse
1 Oliphaunt
1 Opposition Agent
1 Orcish Bowmasters
1 Overgrown Tomb
1 Pendelhaven
1 Phyrexian Tower
1 Polluted Delta
1 Prismatic Vista
1 Pyrogoyf
1 Raucous Theater
1 Scalding Tarn
1 Sephiroth, Fabled SOLDIER
1 Skullclamp
1 Snow-Covered Forest
1 Snow-Covered Mountain
1 Snow-Covered Swamp
1 Spider-Punk
1 Stomping Ground
1 Survival of the Fittest
1 Taiga
1 Tainted Pact
1 Thoughtseize
1 Troll of Khazad-dum
1 Umbral Collar Zealot
1 Underground Mortuary
1 Unearth
1 Utopia Sprawl
1 Verdant Catacombs
1 Wastewood Verge
1 Wight of the Reliquary
1 Wild Growth
1 Windswept Heath
1 Wooded Foothills
1 Worldly Tutor
1 Yavimaya, Cradle of Growth",0
Aleš Buben,,"Prossh, Skyraider of Kher","1 Abrupt Decay
1 Arbor Elf
1 Arcane Signet
1 Arena of Glory
1 Arid Mesa
1 Badgermole Cub
1 Badlands
1 Barrowgoyf
1 Bastion of Remembrance
1 Bayou
1 Birds of Paradise
1 Blood Artist
1 Blood Crypt
1 Bloodstained Mire
1 Boseiju, Who Endures
1 Broadside Bombardiers
1 City of Traitors
1 Coalition Relic
1 Command Tower
1 Commercial District
1 Craterhoof Behemoth
1 Culling the Weak
1 Deathrite Shaman
1 Delighted Halfling
1 Demonic Tutor
1 Domri, Anarch of Bolas
1 Earthcraft
1 Eldritch Evolution
1 Elves of Deep Shadow
1 Elvish Mystic
1 Endurance
1 Enduring Courage
1 Fatal Push
1 Fertile Ground
1 Finale of Devastation
1 Forest
1 Fury
1 Fyndhorn Elves
1 Goblin Bombardment
1 Chaos Defiler
1 Ignoble Hierarch
1 Karplusan Forest
1 Lightning Bolt
1 Llanowar Elves
1 Llanowar Wastes
1 Malevolent Rumble
1 Marionette Apprentice
1 Marsh Flats
1 Mawloc
1 Mayhem Devil
1 Minsc & Boo, Timeless Heroes
1 Misty Rainforest
1 Mountain
1 Nature's Lore
1 Orcish Bowmasters
1 Overgrown Tomb
1 Overgrowth
1 Phyrexian Tower
1 Polluted Delta
1 Primeval Titan
1 Prismatic Vista
1 Purphoros, God of the Forge
1 Pyrogoyf
1 Raucous Theater
1 Rootbound Crag
1 Sakura-Tribe Elder
1 Scalding Tarn
1 Sephiroth, Fabled SOLDIER
1 Shadow in the Warp
1 Shared Animosity
1 Shifting Woodland
1 Skullclamp
1 Snow-Covered Forest
1 Springheart Nantuko
1 Stomping Ground
1 Survival of the Fittest
1 Swamp
1 Sylvan Caryatid
1 Taiga
1 Tainted Pact
1 The Meathook Massacre
1 Thornspire Verge
1 Three Visits
1 Toxic Deluge
1 Underground Mortuary
1 Utopia Sprawl
1 Verdant Catacombs
1 Vivien, Monsters' Advocate
1 Wall of Roots
1 Wastewood Verge
1 Westvale Abbey
1 Wight of the Reliquary
1 Wild Growth
1 Windswept Heath
1 Wooded Foothills
1 Woodland Cemetery
1 Yavimaya, Cradle of Growth
1 Yawgmoth, Thran Physician
1 Zulaport Cutthroat",1
Antonín Seidl,,"Ludevic, Necro-Alchemist & Yoshimaru, Ever Faithful","1 Aang, Swift Savior
1 Adarkar Wastes
1 Ajani, Nacatl Pariah
1 Anim Pakal, Thousandth Moon
1 Aragorn, King of Gondor
1 Arena of Glory
1 Arid Mesa
1 Bloodstained Mire
1 Broadside Bombardiers
1 Captain America, First Avenger
1 Cloud, Midgar Mercenary
1 Command Tower
1 Daze
1 Dennick, Pious Apprentice
1 Detective's Phoenix
1 Eiganjo Castle
1 Eiganjo, Seat of the Empire
1 Embercleave
1 Faerie Mastermind
1 Flagstones of Trokair
1 Flooded Strand
1 Floodfarm Verge
1 Flowering of the White Tree
1 Force of Negation
1 Force Spike
1 Forth Eorlingas!
1 Fury
1 Galvanic Discharge
1 Ghostfire Slice
1 Gwen Stacy // Ghost-Spider
1 Hallowed Fountain
1 Hengegate Pathway
1 Inspiring Vantage
1 Inti, Seneschal of the Sun
1 Island
1 Laelia, the Blade Reforged
1 Lightning Bolt
1 Lion Sash
1 Lorien Revealed
1 Lose Focus
1 Malcolm, Alluring Scoundrel
1 Mana Leak
1 Mana Tithe
1 Marsh Flats
1 Memory Lapse
1 Mental Misstep
1 Merry, Esquire of Rohan
1 Meticulous Archive
1 Minas Tirith
1 Misty Rainforest
1 Mother of Runes
1 Mountain
1 Mystical Dispute
1 No More Lies
1 Oboro, Palace in the Clouds
1 Otawara, Soaring City
1 Phelia, Exuberant Shepherd
1 Phlage, Titan of Fire's Fury
1 Pippin, Guard of the Citadel
1 Plains
1 Plateau
1 Polluted Delta
1 Prismatic Vista
1 Pyrogoyf
1 Pyrokinesis
1 Redirect Lightning
1 Remand
1 Reprieve
1 Reverent Mantra
1 Riverglide Pathway
1 Sacred Foundry
1 Scalding Tarn
1 Shadowspear
1 Sink into Stupor
1 Skullclamp
1 Sokenzan, Crucible of Defiance
1 Solitude
1 Spectacular Spider-Man
1 Steam Vents
1 Stern Scolding
1 Stifle
1 Stoneforge Mystic
1 Subtlety
1 Sunbillow Verge
1 Swords to Plowshares
1 Tale's End
1 Teferi, Time Raveler
1 Tersa Lightshatter
1 The Wandering Emperor
1 Tishana's Tidebinder
1 Tundra
1 Volcanic Island
1 Wan Shi Tong, Librarian
1 Wash Away
1 Windswept Heath
1 Witch Enchanter
1 Wooded Foothills
1 Zack Fair",0
Dan P.,,Peter Parker // Amazing Spider-Man,"1 Abhorrent Oculus
1 Abundant Countryside
1 Arbor Elf
1 Arid Mesa
1 Avacyn's Pilgrim
1 Badgermole Cub
1 Birds of Paradise
1 Birthing Pod
1 Birthing Ritual
1 Boseiju, Who Endures
1 Breeding Pool
1 Brightglass Gearhulk
1 Cloud, Midgar Mercenary
1 Command Tower
1 Containment Priest
1 Delighted Halfling
1 Drannith Magistrate
1 Earthcraft
1 Eladamri's Call
1 Eldritch Evolution
1 Elesh Norn, Mother of Machines
1 Elvish Mystic
1 Endurance
1 Enlightened Tutor
1 Ephemerate
1 Eternal Witness
1 Finale of Devastation
1 Flare of Fortitude
1 Flooded Strand
1 Floodfarm Verge
4 Forest
1 Formidable Speaker
1 Fyndhorn Elves
1 Giver of Runes
1 Green Sun's Zenith
1 Guide of Souls
1 Hallowed Fountain
1 Harbinger of the Seas
1 Haywire Mite
1 Hedge Maze
1 Helping Hand
1 Hushwood Verge
1 Chord of Calling
1 Island
1 Llanowar Elves
1 Lush Portico
1 Marsh Flats
1 Mental Misstep
1 Meticulous Archive
1 Misty Rainforest
1 Mockingbird
1 Mother of Runes
1 Mystic Gate
1 Neoform
1 Noble Hierarch
1 Ocelot Pride
1 Opposition
1 Palace Jailer
1 Parallax Wave
1 Phelia, Exuberant Shepherd
4 Plains
1 Polluted Delta
1 Portable Hole
1 Pre-War Formalwear
1 Prismatic Vista
1 Ranger-Captain of Eos
1 Sanctifier en-Vec
1 Savannah
1 Scalding Tarn
1 Skullclamp
1 Skyclave Apparition
1 Solitude
1 Soulherder
1 Spellseeker
1 Springheart Nantuko
1 Starting Town
1 Stoneforge Mystic
1 Survival of the Fittest
1 Swords to Plowshares
1 Sylvan Safekeeper
1 Temple Garden
1 Tropical Island
1 Tundra
1 Undermountain Adventurer
1 Urza's Saga
1 Utopia Sprawl
1 Verdant Catacombs
1 Voice of Victory
1 Wild Growth
1 Windswept Heath
1 Witch Enchanter
1 Wooded Foothills
1 Yavimaya, Cradle of Growth",0
Daniel Hanzlík,,"Kraum, Ludevic's Opus & Yoshimaru, Ever Faithful","1 Aang, Swift Savior
1 Adarkar Wastes
1 Ambrosia Whiteheart
1 Aragorn, King of Gondor
1 Arid Mesa
1 Ash, Party Crasher
1 Aven Interrupter
1 Baird, Argivian Recruiter
1 Battlefield Forge
1 Bloodstained Mire
1 Broadside Bombardiers
1 City of Brass
1 Command Tower
1 Counterspell
1 Daze
1 Eiganjo Castle
1 Eiganjo, Seat of the Empire
1 Feldon, Ronom Excavator
1 Flame Slash
1 Flooded Strand
1 Floodfarm Verge
1 Forth Eorlingas!
1 Fury
1 Galadriel's Dismissal
1 Galvanic Discharge
1 Glacial Fortress
1 Hallowed Fountain
1 Hammerheim
1 Headliner Scarlett
1 Chain Lightning
1 Inspiring Vantage
1 Jill, Shiva's Dominant
1 Joshua, Phoenix's Dominant
1 Kari Zev, Skyship Raider
1 Kassandra, Eagle Bearer
1 Kellan, Planar Trailblazer
1 Kytheon, Hero of Akros
1 Laelia, the Blade Reforged
1 Lightning Bolt
1 Lightning, Army of One
1 Lose Focus
1 Loyal Apprentice
1 Malcolm, Alluring Scoundrel
1 Mana Confluence
1 Mana Leak
1 Marsh Flats
1 Mental Misstep
1 Merry, Esquire of Rohan
1 Misty Rainforest
1 No More Lies
1 Otawara, Soaring City
1 Parallax Wave
1 Phelia, Exuberant Shepherd
1 Phlage, Titan of Fire's Fury
1 Pippin, Guard of the Citadel
1 Plateau
1 Polluted Delta
1 Prismatic Ending
1 Pyrogoyf
1 Pyrokinesis
1 Razorgrass Ambush
1 Reflecting Pool
1 Remand
1 Reprieve
1 Reverent Mantra
1 Sacred Foundry
1 Scalding Tarn
1 Screaming Nemesis
1 Seachrome Coast
1 Shinka, the Bloodsoaked Keep
1 Skyclave Apparition
1 Snow-Covered Island
1 Snow-Covered Mountain
1 Snow-Covered Plains
1 Sokenzan, Crucible of Defiance
1 Solitude
1 Spectacular Spider-Man
1 Spider-Woman, Stunning Savior
1 Spirebluff Canal
1 Starting Town
1 Static Prison
1 Steam Vents
1 Subtlety
1 Sunbillow Verge
1 Sundering Eruption
1 Swift Reconfiguration
1 Swords to Plowshares
1 Sygg, Wanderwine Wisdom
1 Tajic, Legion's Edge
1 Teferi, Time Raveler
1 Thalia, Heretic Cathar
1 The Spear of Leonidas
1 True-Name Nemesis
1 Tundra
1 Urdnan, Dromoka Warrior
1 Wash Away
1 Windswept Heath
1 Wooded Foothills",0
David Bohuslav,,"Toph, Greatest Earthbender","1 Arbor Elf
1 Arena of Glory
1 Arid Mesa
1 Ba Sing Se
1 Badgermole Cub
1 Berserk
1 Birds of Paradise
1 Blinkmoth Nexus
1 Bloodstained Mire
1 Blossoming Tortoise
1 Boseiju, Who Endures
1 Bristly Bill, Spine Sower
1 Broadside Bombardiers
1 Bumi, Unleashed
1 City of Traitors
1 Command Tower
1 Commercial District
1 Crop Rotation
1 Crystal Vein
1 Delighted Halfling
1 Den of the Bugbear
1 Detective's Phoenix
1 Domri, Anarch of Bolas
1 Dryad Arbor
1 Dust Bowl
1 Earthbender Ascension
1 Elvish Mystic
1 Endurance
1 Exploration
1 Fanatic of Rhonas
1 Fear of Missing Out
3 Forest
1 Formidable Speaker
1 Frenzied Baloth
1 Fury
1 Fyndhorn Elves
1 Galvanic Discharge
1 Ghor-Clan Rampager
1 Ghostfire Slice
1 Green Sun's Zenith
1 Haywire Mite
1 Headliner Scarlett
1 Hexing Squelcher
1 Chain Lightning
1 Icetill Explorer
1 Inkmoth Nexus
1 Inti, Seneschal of the Sun
1 Keen-Eyed Curator
1 Kessig Wolf Run
1 Lair of the Hydra
1 Legolas's Quick Reflexes
1 Lightning Bolt
1 Llanowar Elves
1 Mawloc
1 Minsc & Boo, Timeless Heroes
1 Mishra's Factory
1 Misty Rainforest
2 Mountain
1 Mutavault
1 Nature's Lore
1 Orcish Lumberjack
1 Prismatic Vista
1 Pyrogoyf
1 Pyrokinesis
1 Raging Ravine
1 Restless Ridgeline
1 Scalding Tarn
1 Scythecat Cub
1 Secret Tunnel
1 Shifting Woodland
1 Six
1 Skullclamp
1 Sowing Mycospawn
1 Spider-Punk
1 Springheart Nantuko
1 Stomping Ground
1 Sundering Eruption
1 Sylvan Safekeeper
1 Taiga
1 Talon Gates of Madara
1 Thornspire Verge
1 Three Visits
1 Tinder Wall
1 Treetop Village
1 Tyvar's Stand
1 Untimely Malfunction
1 Urza's Saga
1 Utopia Sprawl
1 Verdant Catacombs
1 Vibrance
1 Wild Growth
1 Windswept Heath
1 Wooded Foothills
1 Worldly Tutor
1 Wrenn and Six
1 Yavimaya, Cradle of Growth",0
David Jones,,Ertai Resurrected,"1 Abhorrent Oculus
1 Agna Qel'a
1 Archmage's Charm
1 Baleful Strix
1 Barrowgoyf
1 Bloodchief's Thirst
1 Bloodstained Mire
1 Brainstorm
1 Brainsurge
1 Castle Vantress
1 Clearwater Pathway
1 Cling to Dust
1 Command Tower
1 Consider
1 Consult the Star Charts
1 Counterspell
1 Creeping Tar Pit
1 Cryptic Command
1 Darkslick Shores
1 Daze
1 Demonic Tutor
1 Dismember
1 Drown in the Loch
1 Drowned Catacomb
1 Fatal Push
1 Field of Ruin
1 Fire Nation Occupation
1 Flooded Strand
1 Force of Negation
1 Force Spike
1 Ghost Vacuum
1 Gitaxian Probe
1 Gloomlake Verge
1 Go for the Throat
1 Hall of Storm Giants
1 Harbinger of the Seas
1 Hullbreacher
1 Change the Equation
1 Long Goodbye
1 Lorien Revealed
1 Lose Focus
1 Malcolm, Alluring Scoundrel
1 Mana Leak
1 Marsh Flats
1 Memory Lapse
1 Mental Misstep
1 Misty Rainforest
1 Murktide Regent
1 Mystic Confluence
1 Mystic Sanctuary
1 Orcish Bowmasters
1 Otawara, Soaring City
1 Parallax Nexus
1 Parallax Tide
1 Peek
1 Polluted Delta
1 Ponder
1 Preordain
1 Prismatic Vista
1 Profane Tutor
1 Psychic Frog
1 Quantum Riddler
1 Remand
1 Requiting Hex
1 Riptide Laboratory
1 Sauron's Ransom
1 Scalding Tarn
1 Shipwreck Marsh
1 Sinister Concierge
1 Snapcaster Mage
10 Snow-Covered Island
2 Snow-Covered Swamp
1 Spell Snare
1 Stern Scolding
1 Stifle
1 Subtlety
1 Sunken Hollow
1 Sunken Ruins
1 Tale's End
1 Toxic Deluge
1 Unable to Scream
1 Undercity Sewers
1 Underground Sea
1 Vedalken Shackles
1 Vendilion Clique
1 Verdant Catacombs
1 Wan Shi Tong, Librarian
1 Wash Away
1 Watery Grave",0
David Mecl,,"Tasigur, the Golden Fang","1 Abrupt Decay
1 Archmage's Charm
1 Auroral Procession
1 Bad River
1 Bayou
1 Bloodstained Mire
1 Boseiju, Who Endures
1 Brainstorm
1 Brainsurge
1 Breeding Pool
1 Cactus Preserve
1 Cling to Dust
1 Command Tower
1 Consider
1 Consult the Star Charts
1 Cosmogoyf
1 Counterspell
1 Cryptic Command
1 Cut Down
1 Damnation
1 Darkslick Shores
1 Daze
1 Demonic Consultation
1 Demonic Tutor
1 Dismember
1 Dreamroot Cascade
1 Drown in the Loch
1 Drowned Catacomb
1 Fatal Push
1 Fire Nation Occupation
1 Flood Plain
1 Flooded Strand
1 Force of Negation
1 Force Spike
1 Gitaxian Probe
1 Gloomlake Verge
1 Hedge Maze
1 Heritage Reclamation
1 Hullbreaker Horror
1 Change the Equation
1 Island
1 Jace, Wielder of Mysteries
1 Languish
1 Long Goodbye
1 Lorien Revealed
1 Lose Focus
1 Mana Leak
1 Marsh Flats
1 Maze of Ith
1 Memory Lapse
1 Mental Misstep
1 Mental Note
1 Miscalculation
1 Mistrise Village
1 Misty Rainforest
1 Mystic Confluence
1 Mystic Sanctuary
1 Neoform
1 Oko, Thief of Crowns
1 Orcish Bowmasters
1 Otawara, Soaring City
1 Polluted Delta
1 Ponder
1 Preordain
1 Prismatic Vista
1 Psychic Frog
1 Rakshasa's Bargain
1 Reflecting Pool
1 Remand
1 Requiting Hex
1 River of Tears
1 Scalding Tarn
1 Shipwreck Marsh
1 Snapcaster Mage
1 Snow-Covered Island
1 Spell Snare
1 Stern Scolding
1 Stubborn Denial
1 Subtlety
1 Sunken Ruins
1 Swamp
1 Tainted Pact
1 Tale's End
1 Tamiyo, Inquisitive Student
1 Thought Scour
1 Thoughtseize
1 Toxic Deluge
1 Tropical Island
1 Undercity Sewers
1 Underground Mortuary
1 Underground Sea
1 Verdant Catacombs
1 Wash Away
1 Waterlogged Teachings
1 Watery Grave
1 Wilderness Reclamation
1 Willowrush Verge
1 Windswept Heath
1 Wooded Foothills",0
